Satellite Name;Country;Users;Purpose;Orbit;Longitude of GEO;Perigee;Apogee;Eccentricity;Inclination;Period;Launch Date;Status;Final Date;Effective Lifetime;Expected Lifetime;Mass;Continent;log.Eccentricity
SpaceBEE-129;USA;Commercial;Communications;LEO;0;498;509;0,000800175;97,4;94;01/04/2022;retired;14/11/2023;1,62;2;2;Americas;7,130680625
SpaceBEE-131;USA;Commercial;Communications;LEO;0;498;509;0,000800175;97,4;94;01/04/2022;retired;29/11/2023;1,66;2;2;Americas;7,130680625
SpaceBEE-136;USA;Commercial;Communications;LEO;0;497;508;0,000800291;97,4;94;01/04/2022;retired;28/02/2023;0,91;2;2;Americas;7,130535128
SpaceBEE-137;USA;Commercial;Communications;LEO;0;497;509;0,000872981;97,4;94;01/04/2022;retired;17/10/2023;1,55;2;2;Americas;7,043596502
SpaceBEE-NZ1;USA;Commercial;Communications;LEO;0;492;513;0,001527828;97,5;94,5;20/11/2020;retired;16/06/2023;2,57;2;2;Americas;6,483907963
SpaceBEE-NZ13;USA;Commercial;Communications;LEO;0;506;543;0,002683298;97,5;94,3;15/03/2022;retired;18/11/2023;1,68;2;2;Americas;5,920708539
SpaceBEE-NZ6;USA;Commercial;Communications;LEO;0;492;518;0,001890909;97,5;94,5;20/11/2020;retired;16/04/2023;2,4;2;2;Americas;6,270697565
Starlink-1881;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;24/11/2020;retired;18/12/2022;2,07;4;260;Americas;6,971018949
Starlink-1902;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;24/10/2020;retired;12/10/2022;1,97;4;260;Americas;6,971018949
Starlink-1939;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;24/10/2020;retired;22/10/2023;2,99;4;260;Americas;6,971018949
Starlink-2216;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;24/03/2021;retired;14/09/2023;2,48;4;260;Americas;6,971018949
Starlink-2328;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;14/03/2021;retired;16/09/2023;2,51;4;260;Americas;6,971018949
Starlink-2345;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;14/03/2021;retired;23/02/2023;1,95;4;260;Americas;6,971018949
Starlink-2359;USA;Commercial;Communications;LEO;0;548;561;0,000938696;53;95,6;14/03/2021;retired;30/11/2023;2,72;4;260;Americas;6,971018949
Starlink-3596;USA;Commercial;Communications;LEO;0;348;351;0,000223231;53,2;91,5;25/02/2022;retired;19/08/2023;1,48;4;260;Americas;8,407303918
Starlink-4113;USA;Commercial;Communications;LEO;0;538;541;0,000217092;53,2;95,4;24/07/2022;retired;25/06/2023;0,92;4;260;Americas;8,435187447
Steamsat-1;Poland;Commercial;Technology Development;LEO;0;495;501;0,000436808;45;95,7;13/01/2022;retired;13/04/2023;1,25;5;5;Europe;7,736015933
STSat-2C;South Korea;Government;Technology Development;LEO;0;298;1482;0,0815427;80,28;102,77;30/01/2013;retired;01/04/2023;10,17;2;93;Asia;2,506628473
TET-1;Germany;Commercial;Technology Development;LEO;0;501;505;0,000290994;97,5;94,7;22/07/2012;retired;17/10/2023;11,24;1;120;Europe;8,142208791
